symbol,timestamp,open,high,low,close,volume,signal
EURUSD,2025-01-01 00:00:00,1.1,1.10026,1.09981,1.1001,143,hold
EURUSD,2025-01-01 00:01:00,1.10022,1.10028,1.10013,1.10014,143,hold
EURUSD,2025-01-01 00:02:00,1.10016,1.10028,1.1001,1.10021,175,hold
EURUSD,2025-01-01 00:03:00,1.10005,1.10032,1.10001,1.10002,161,hold
EURUSD,2025-01-01 00:04:00,1.09995,1.09995,1.09971,1.09987,150,hold
EURUSD,2025-01-01 00:05:00,1.10065,1.1007,1.10058,1.10061,155,hold
EURUSD,2025-01-01 00:06:00,1.10098,1.10133,1.10088,1.10102,147,buy
EURUSD,2025-01-01 00:07:00,1.10078,1.10144,1.10076,1.10088,161,buy
EURUSD,2025-01-01 00:08:00,1.10102,1.10113,1.10089,1.10099,156,buy
EURUSD,2025-01-01 00:09:00,1.10112,1.10117,1.10088,1.10099,144,buy
EURUSD,2025-01-01 00:10:00,1.10028,1.10041,1.1001,1.10039,141,buy
EURUSD,2025-01-01 00:11:00,1.09983,1.09986,1.09965,1.09974,149,buy
EURUSD,2025-01-01 00:12:00,1.09997,1.10008,1.09979,1.1,152,hold
EURUSD,2025-01-01 00:13:00,1.10062,1.10073,1.10046,1.10061,148,hold
EURUSD,2025-01-01 00:14:00,1.10052,1.1008,1.10046,1.1005,149,sell
EURUSD,2025-01-01 00:15:00,1.10028,1.10066,1.10014,1.10023,156,sell
EURUSD,2025-01-01 00:16:00,1.10033,1.10053,1.10002,1.1004,180,hold
EURUSD,2025-01-01 00:17:00,1.10006,1.10016,1.09954,1.09967,159,sell
EURUSD,2025-01-01 00:18:00,1.09993,1.10016,1.0995,1.10006,138,sell
EURUSD,2025-01-01 00:19:00,1.09993,1.10033,1.09967,1.09983,166,sell
EURUSD,2025-01-01 00:20:00,1.09946,1.09968,1.09911,1.09951,156,sell
EURUSD,2025-01-01 00:21:00,1.09983,1.09991,1.09976,1.09986,158,sell
EURUSD,2025-01-01 00:22:00,1.09929,1.09973,1.09917,1.09943,142,sell
EURUSD,2025-01-01 00:23:00,1.0987,1.09875,1.0987,1.09873,165,sell
EURUSD,2025-01-01 00:24:00,1.09879,1.09893,1.09848,1.0987,162,sell
EURUSD,2025-01-01 00:25:00,1.09912,1.09936,1.09892,1.09894,136,sell
EURUSD,2025-01-01 00:26:00,1.09919,1.09923,1.09902,1.09915,157,sell
EURUSD,2025-01-01 00:27:00,1.09914,1.09932,1.09888,1.09892,140,sell
EURUSD,2025-01-01 00:28:00,1.09901,1.09914,1.09881,1.09894,143,sell
EURUSD,2025-01-01 00:29:00,1.0988,1.09906,1.09873,1.09877,137,sell
EURUSD,2025-01-01 00:30:00,1.09927,1.09935,1.09911,1.09919,156,sell
EURUSD,2025-01-01 00:31:00,1.09941,1.09954,1.09936,1.09942,150,sell
EURUSD,2025-01-01 00:32:00,1.09924,1.09927,1.0991,1.09922,148,sell
EURUSD,2025-01-01 00:33:00,1.09894,1.09918,1.09861,1.09891,139,sell
EURUSD,2025-01-01 00:34:00,1.09921,1.09934,1.09894,1.09895,151,sell
EURUSD,2025-01-01 00:35:00,1.09967,1.09976,1.09924,1.09952,149,sell
EURUSD,2025-01-01 00:36:00,1.10008,1.1004,1.09995,1.10015,160,buy
EURUSD,2025-01-01 00:37:00,1.09971,1.10015,1.0997,1.0998,165,buy
EURUSD,2025-01-01 00:38:00,1.09957,1.09974,1.09906,1.09937,141,buy
EURUSD,2025-01-01 00:39:00,1.09936,1.09937,1.0992,1.09927,167,buy
EURUSD,2025-01-01 00:40:00,1.09928,1.0995,1.09927,1.0994,172,buy
EURUSD,2025-01-01 00:41:00,1.09964,1.09987,1.09923,1.09956,155,buy
EURUSD,2025-01-01 00:42:00,1.10023,1.10041,1.09998,1.10022,150,buy
EURUSD,2025-01-01 00:43:00,1.10039,1.10088,1.10002,1.10055,134,buy
EURUSD,2025-01-01 00:44:00,1.10011,1.10033,1.09983,1.10007,155,buy
EURUSD,2025-01-01 00:45:00,1.10009,1.10019,1.09994,1.10004,132,buy
EURUSD,2025-01-01 00:46:00,1.10078,1.1011,1.10047,1.10076,143,buy
EURUSD,2025-01-01 00:47:00,1.10082,1.10105,1.10023,1.10102,164,buy
EURUSD,2025-01-01 00:48:00,1.10069,1.10132,1.10035,1.10074,158,buy
EURUSD,2025-01-01 00:49:00,1.10059,1.10085,1.10058,1.10059,176,buy
EURUSD,2025-01-01 00:50:00,1.10075,1.10093,1.10062,1.10069,153,buy
EURUSD,2025-01-01 00:51:00,1.10039,1.10061,1.10016,1.10045,155,buy
EURUSD,2025-01-01 00:52:00,1.10017,1.10056,1.10006,1.10024,151,buy
EURUSD,2025-01-01 00:53:00,1.10057,1.10088,1.10037,1.10046,160,buy
EURUSD,2025-01-01 00:54:00,1.10072,1.10081,1.10046,1.10079,159,buy
EURUSD,2025-01-01 00:55:00,1.10076,1.10088,1.10048,1.10074,180,buy
EURUSD,2025-01-01 00:56:00,1.10119,1.10137,1.10092,1.10119,148,buy
EURUSD,2025-01-01 00:57:00,1.10088,1.10106,1.1007,1.10078,154,buy
EURUSD,2025-01-01 00:58:00,1.10073,1.10084,1.10055,1.10069,145,buy
EURUSD,2025-01-01 00:59:00,1.10086,1.10122,1.10039,1.10075,153,buy
EURUSD,2025-01-01 01:00:00,1.10098,1.10099,1.10078,1.10086,164,buy
EURUSD,2025-01-01 01:01:00,1.10036,1.10061,1.09988,1.1004,154,buy
EURUSD,2025-01-01 01:02:00,1.10017,1.10027,1.09984,1.10013,170,hold
EURUSD,2025-01-01 01:03:00,1.1001,1.10014,1.09952,1.09996,163,sell
EURUSD,2025-01-01 01:04:00,1.10028,1.10059,1.09999,1.10052,130,sell
EURUSD,2025-01-01 01:05:00,1.10039,1.10046,1.10004,1.10027,157,sell
EURUSD,2025-01-01 01:06:00,1.10036,1.10091,1.10028,1.10048,146,sell
EURUSD,2025-01-01 01:07:00,1.09951,1.09977,1.09924,1.09935,145,sell
EURUSD,2025-01-01 01:08:00,1.0995,1.09958,1.0994,1.09955,159,sell
EURUSD,2025-01-01 01:09:00,1.09953,1.09968,1.09936,1.0995,160,sell
EURUSD,2025-01-01 01:10:00,1.10061,1.10112,1.10053,1.10054,154,sell
EURUSD,2025-01-01 01:11:00,1.10053,1.10091,1.09996,1.10055,161,sell
EURUSD,2025-01-01 01:12:00,1.10066,1.10092,1.1002,1.10067,140,sell
EURUSD,2025-01-01 01:13:00,1.10116,1.10172,1.10098,1.10107,135,hold
EURUSD,2025-01-01 01:14:00,1.10149,1.10196,1.10139,1.1014,148,buy
EURUSD,2025-01-01 01:15:00,1.10211,1.1024,1.10178,1.10194,148,buy
EURUSD,2025-01-01 01:16:00,1.10149,1.10171,1.10145,1.10153,152,buy
EURUSD,2025-01-01 01:17:00,1.10106,1.10128,1.10064,1.10092,126,buy
EURUSD,2025-01-01 01:18:00,1.10081,1.10095,1.10075,1.10081,137,buy
EURUSD,2025-01-01 01:19:00,1.10013,1.10033,1.10004,1.10019,156,buy
EURUSD,2025-01-01 01:20:00,1.10016,1.10028,1.09988,1.10018,150,buy
EURUSD,2025-01-01 01:21:00,1.09975,1.09982,1.0996,1.09967,162,sell
EURUSD,2025-01-01 01:22:00,1.10043,1.1008,1.10042,1.10053,134,sell
EURUSD,2025-01-01 01:23:00,1.10009,1.10019,1.09989,1.10004,162,sell
EURUSD,2025-01-01 01:24:00,1.09995,1.09999,1.09971,1.0998,132,sell
